0,1,30
0,2,50
1,3,30
1,4,60
2,4,60
2,5,40
3,6,40
3,7,50
4,7,40
4,8,30
5,8,60
5,9,50
6,10,40
6,11,40
7,11,50
7,12,60
8,12,50
8,13,30
9,13,30
9,14,30
10,15,50
10,16,60
11,16,60
11,17,40
12,17,40
12,18,30
13,18,50
13,19,50
14,19,40
14,20,50
15,21,60
16,21,50
16,22,50
17,22,40
17,23,40
18,23,40
18,24,60
19,24,60
19,25,30
20,25,60
21,26,30
22,26,60
22,27,50
23,27,40
23,28,40
24,28,60
24,29,30
25,29,30
26,30,60
27,30,60
27,31,50
28,31,30
28,32,40
29,32,60
30,33,50
31,33,50
31,34,50
32,34,60
33,35,60
34,35,60
